cvegeo,localidad,POBTOT,TVIVPAR,VIVPAR_HAB,VIVPAR_DES,VIVPAR_UT,vivpar_ut_pct,semaforo_ut,listings_bruta,listings_ajustada,penetracion_pct,asignaciones_ambiguas,vector_asamblea,celdas_reservadas,sin_dato_censal
2300800011563,Playa del Carmen,3868,1019.0,908.0,97.0,14.0,1.37,verde,,,,,,0,False
2300800010669,Playa del Carmen,1064,336.0,267.0,65.0,4.0,1.19,verde,,,,,,0,False
2300800012203,Playa del Carmen,3077,924.0,844.0,69.0,11.0,1.19,verde,,,,,,0,False
2300803082171,Puerto Aventuras,1909,535.0,482.0,47.0,6.0,1.12,verde,,,,,,0,False
2300800011027,Playa del Carmen,1499,397.0,358.0,35.0,4.0,1.01,verde,,,,,,0,False
2300800012415,Playa del Carmen,2536,1538.0,269.0,1254.0,15.0,0.98,verde,,,,,,0,False
2300800011597,Playa del Carmen,3623,1089.0,981.0,98.0,10.0,0.92,verde,,,,,,0,False
2300800011760,Playa del Carmen,5132,1676.0,1492.0,170.0,14.0,0.84,verde,,,,,,0,False
2300800010705,Playa del Carmen,2344,834.0,700.0,127.0,7.0,0.84,verde,,,,,,0,False
2300800011953,Playa del Carmen,6751,1944.0,1755.0,173.0,16.0,0.82,verde,,,,,,0,False
2300800011652,Playa del Carmen,1024,653.0,333.0,315.0,5.0,0.77,verde,,,,,,0,False
2300800011775,Playa del Carmen,1994,629.0,578.0,47.0,4.0,0.64,verde,,,,,,0,False
2300800011559,Playa del Carmen,3468,945.0,867.0,72.0,6.0,0.63,verde,,,,,,0,False
230080001153A,Playa del Carmen,5844,1520.0,1439.0,72.0,9.0,0.59,verde,,,,,,0,False
2300800012082,Playa del Carmen,6601,1394.0,1362.0,25.0,7.0,0.5,verde,,,,,,0,False
230080001178A,Playa del Carmen,3139,994.0,896.0,94.0,4.0,0.4,verde,,,,,,0,False
2300800012222,Playa del Carmen,4110,1166.0,1138.0,24.0,4.0,0.34,verde,,,,,,0,False
2300800011794,Playa del Carmen,4236,1116.0,1052.0,61.0,3.0,0.27,verde,,,,,,0,False
2300800012275,Playa del Carmen,5947,1374.0,1352.0,19.0,3.0,0.22,verde,,,,,,0,False
2300800012097,Playa del Carmen,6090,1506.0,1439.0,64.0,3.0,0.2,verde,,,,,,0,False
2300800012218,Playa del Carmen,9709,2361.0,2232.0,125.0,4.0,0.17,verde,,,,,,0,False
2300800010315,Playa del Carmen,3725,1916.0,1406.0,507.0,3.0,0.16,verde,,,,,,0,False
2300800012114,Playa del Carmen,3082,815.0,773.0,42.0,0.0,0.0,verde,,,,,,0,False
2300800011972,Playa del Carmen,280,100.0,89.0,11.0,0.0,0.0,verde,,,,,,0,False
2300800011173,Playa del Carmen,24,32.0,9.0,23.0,0.0,0.0,verde,,,,,,0,False
2300800010692,Playa del Carmen,121,68.0,43.0,25.0,0.0,0.0,verde,,,,,,0,False
2300800012383,Playa del Carmen,573,243.0,71.0,172.0,0.0,0.0,verde,,,,,,0,False
2300800011690,Playa del Carmen,22,12.0,4.0,8.0,0.0,0.0,verde,,,,,,0,False
2300800012379,Playa del Carmen,2512,493.0,470.0,23.0,0.0,0.0,verde,,,,,,0,False
2300800011281,Playa del Carmen,38,8.0,8.0,0.0,0.0,0.0,verde,,,,,,0,False
2300800011845,Playa del Carmen,385,205.0,126.0,79.0,0.0,0.0,verde,,,,,,0,False
230080001203A,Playa del Carmen,30,6.0,4.0,,0.0,0.0,verde,,,,,,1,False
2300800011099,Playa del Carmen,26,11.0,10.0,,0.0,0.0,verde,,,,,,1,False
2300800010974,Playa del Carmen,502,166.0,134.0,32.0,0.0,0.0,verde,,,,,,0,False
2300800010796,Playa del Carmen,0,0.0,0.0,0.0,0.0,,sin dato,,,,,,0,True
2300800011455,Playa del Carmen,0,0.0,0.0,0.0,0.0,,sin dato,,,,,,0,True
2300800011525,Playa del Carmen,0,0.0,0.0,0.0,0.0,,sin dato,,,,,,0,True
2300800011879,Playa del Carmen,629,374.0,192.0,180.0,,,sin dato,,,,,,1,True
2300800010688,Playa del Carmen,743,216.0,195.0,20.0,,,sin dato,,,,,,1,True
2300800010832,Playa del Carmen,361,166.0,143.0,22.0,,,sin dato,,,,,,1,True
2300800011629,Playa del Carmen,68,38.0,21.0,16.0,,,sin dato,,,,,,1,True
2300800012010,Playa del Carmen,14,5.0,4.0,0.0,,,sin dato,,,,,,1,True
2300800012059,Playa del Carmen,9,,,,,,sin dato,,,,,,4,True
2300800012260,Playa del Carmen,157,26.0,14.0,11.0,,,sin dato,,,,,,1,True
230080001210A,Playa del Carmen,5925,1534.0,1467.0,65.0,,,sin dato,,,,,,1,True
2300800011671,Playa del Carmen,840,266.0,235.0,29.0,,,sin dato,,,,,,1,True
2300800012311,Playa del Carmen,2427,629.0,526.0,101.0,,,sin dato,,,,,,1,True
2300800011436,Playa del Carmen,0,0.0,0.0,0.0,0.0,,sin dato,,,,,,0,True
2300800011900,Playa del Carmen,808,308.0,260.0,47.0,,,sin dato,,,,,,1,True
2300800012330,Playa del Carmen,4470,1035.0,987.0,47.0,,,sin dato,,,,,,1,True
2300800011633,Playa del Carmen,0,0.0,0.0,0.0,0.0,,sin dato,,,,,,0,True
2300800012434,Playa del Carmen,0,,,,,,sin dato,,,,,,4,True
2300800012449,Playa del Carmen,0,,,,,,sin dato,,,,,,4,True
